FeatureSize,Run,Model,Dataset,Accuracy,Precision,Recall,F1,AUC,NumSelectedFeatures
2,17,RandomForest,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,17,RandomForest,Test (TCGA),0.9583333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9850088183421517,2
2,17,RandomForest,CPTAC,,,,,,2
2,17,SVM,Train (TCGA),0.9821428571428571,1.0,0.9583333333333334,0.9787234042553191,0.9947916666666666,2
2,17,SVM,Test (TCGA),0.9583333333333334,1.0,0.9047619047619048,0.95,0.9611992945326279,2
2,17,SVM,CPTAC,,,,,,2
2,17,KNN,Train (TCGA),0.9821428571428571,1.0,0.9583333333333334,0.9787234042553191,0.998046875,2
2,17,KNN,Test (TCGA),0.9583333333333334,1.0,0.9047619047619048,0.95,0.9964726631393298,2
2,17,KNN,CPTAC,,,,,,2
2,17,GradientBoosting,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,17,GradientBoosting,Test (TCGA),0.9583333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,2
2,17,GradientBoosting,CPTAC,,,,,,2
2,18,LogisticRegression,Train (TCGA),0.9553571428571429,1.0,0.8958333333333334,0.945054945054945,0.9830729166666667,2
2,18,LogisticRegression,Test (TCGA),0.9791666666666666,0.9545454545454546,1.0,0.9767441860465116,1.0,2
2,18,LogisticRegression,CPTAC,,,,,,2
2,18,RandomForest,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,18,RandomForest,Test (TCGA),0.9583333333333334,0.9130434782608695,1.0,0.9545454545454546,1.0,2
2,18,RandomForest,CPTAC,,,,,,2
2,18,SVM,Train (TCGA),0.9642857142857143,1.0,0.9166666666666666,0.9565217391304348,0.9840494791666666,2
2,18,SVM,Test (TCGA),0.9791666666666666,0.9545454545454546,1.0,0.9767441860465116,1.0,2
2,18,SVM,CPTAC,,,,,,2
2,18,KNN,Train (TCGA),0.9642857142857143,1.0,0.9166666666666666,0.9565217391304348,0.9908854166666666,2
2,18,KNN,Test (TCGA),0.9791666666666666,0.9545454545454546,1.0,0.9767441860465116,1.0,2
2,18,KNN,CPTAC,,,,,,2
2,18,GradientBoosting,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,18,GradientBoosting,Test (TCGA),0.9583333333333334,0.9130434782608695,1.0,0.9545454545454546,1.0,2
2,18,GradientBoosting,CPTAC,,,,,,2
2,19,LogisticRegression,Train (TCGA),0.9553571428571429,1.0,0.8958333333333334,0.945054945054945,0.9798177083333334,2
2,19,LogisticRegression,Test (TCGA),0.9791666666666666,0.9545454545454546,1.0,0.9767441860465116,1.0,2
2,19,LogisticRegression,CPTAC,,,,,,2
2,19,RandomForest,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,19,RandomForest,Test (TCGA),0.9583333333333334,0.9130434782608695,1.0,0.9545454545454546,1.0,2
2,19,RandomForest,CPTAC,,,,,,2
2,19,SVM,Train (TCGA),0.9464285714285714,0.9565217391304348,0.9166666666666666,0.9361702127659575,0.9850260416666666,2
2,19,SVM,Test (TCGA),0.9791666666666666,0.9545454545454546,1.0,0.9767441860465116,1.0,2
2,19,SVM,CPTAC,,,,,,2
2,19,KNN,Train (TCGA),0.9642857142857143,1.0,0.9166666666666666,0.9565217391304348,0.990234375,2
2,19,KNN,Test (TCGA),0.9791666666666666,0.9545454545454546,1.0,0.9767441860465116,1.0,2
2,19,KNN,CPTAC,,,,,,2
2,19,GradientBoosting,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,19,GradientBoosting,Test (TCGA),0.9583333333333334,0.9130434782608695,1.0,0.9545454545454546,1.0,2
2,19,GradientBoosting,CPTAC,,,,,,2
2,20,LogisticRegression,Train (TCGA),0.9732142857142857,0.9787234042553191,0.9583333333333334,0.968421052631579,0.9957682291666666,2
2,20,LogisticRegression,Test (TCGA),0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9559082892416226,2
2,20,LogisticRegression,CPTAC,,,,,,2
2,20,RandomForest,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,20,RandomForest,Test (TCGA),0.9583333333333334,1.0,0.9047619047619048,0.95,0.9576719576719577,2
2,20,RandomForest,CPTAC,,,,,,2
2,20,SVM,Train (TCGA),0.9642857142857143,0.9782608695652174,0.9375,0.9574468085106383,0.9947916666666666,2
2,20,SVM,Test (TCGA),0.9583333333333334,1.0,0.9047619047619048,0.95,0.9664902998236331,2
2,20,SVM,CPTAC,,,,,,2
2,20,KNN,Train (TCGA),0.9642857142857143,1.0,0.9166666666666666,0.9565217391304348,0.9964192708333334,2
2,20,KNN,Test (TCGA),0.9583333333333334,1.0,0.9047619047619048,0.95,0.9417989417989417,2
2,20,KNN,CPTAC,,,,,,2
2,20,GradientBoosting,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,20,GradientBoosting,Test (TCGA),0.9583333333333334,1.0,0.9047619047619048,0.95,0.9647266313932981,2
2,20,GradientBoosting,CPTAC,,,,,,2
2,21,LogisticRegression,Train (TCGA),0.9642857142857143,0.9782608695652174,0.9375,0.9574468085106383,0.982421875,2
2,21,LogisticRegression,Test (TCGA),0.9583333333333334,1.0,0.9047619047619048,0.95,0.9964726631393298,2
2,21,LogisticRegression,CPTAC,,,,,,2
2,21,RandomForest,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,21,RandomForest,Test (TCGA),0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9797178130511464,2
2,21,RandomForest,CPTAC,,,,,,2
2,21,SVM,Train (TCGA),0.9642857142857143,1.0,0.9166666666666666,0.9565217391304348,0.9837239583333333,2
2,21,SVM,Test (TCGA),0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9876543209876543,2
2,21,SVM,CPTAC,,,,,,2
2,21,KNN,Train (TCGA),0.9553571428571429,0.9777777777777777,0.9166666666666666,0.946236559139785,0.9930013020833334,2
